category,domain,reject_violation,no_interaction_violation,non_compliant_3rd,3rd_compliant
Full Consent Compliant,1und1.net,False,False,False,True
Full Consent Compliant,4nsi.com,True,True,True,False
Full Consent Compliant,absolutradio.de,False,False,False,True
Full Consent Compliant,abstract-astro.com,False,False,False,True
Full Consent Compliant,afilio.de,False,False,False,True
Full Consent Compliant,agriskills.net,False,False,False,True
Full Consent Compliant,aixpad.de,False,False,False,True
Full Consent Compliant,alarm-it-factory.de,False,False,False,True
Full Consent Compliant,alphawave.fund,False,False,False,True
Full Consent Compliant,anlegereinblicke.de,False,False,False,True
Full Consent Compliant,appsumo.com,True,False,True,False
Full Consent Compliant,archebyschuhbidu.com,False,False,False,True
Full Consent Compliant,asiatalks.com,False,False,False,True
Full Consent Compliant,athletec.de,False,False,False,True
Full Consent Compliant,atlassian.com,False,False,False,True
Full Consent Compliant,audiopressbox.com,False,False,False,True
Full Consent Compliant,avis.co.za,True,True,True,False
Full Consent Compliant,bayer.com.au,False,False,False,True
Full Consent Compliant,bbirdaviation.com,False,False,False,True
Full Consent Compliant,bentleymotors.com,False,False,False,True
Full Consent Compliant,bestdates.com,False,False,False,True
Full Consent Compliant,betterstack.com,False,False,False,True
Full Consent Compliant,birkenstock.com,False,False,False,True
Full Consent Compliant,bmglabtech.com,False,False,False,True
Full Consent Compliant,bookshop.org,False,False,False,True
Full Consent Compliant,brandregistrygroup.org,False,False,False,True
Full Consent Compliant,budget.co.za,False,False,False,True
Full Consent Compliant,buildrightlawyers.com,False,False,False,True
Full Consent Compliant,carmonsquiltshop.com,False,False,False,True
Full Consent Compliant,citeline.com,False,False,False,True
Full Consent Compliant,congatec.com,True,True,True,False
Full Consent Compliant,conholdate.com,False,False,False,True
Full Consent Compliant,connection.com,True,True,True,False
Full Consent Compliant,conword.io,False,False,False,True
Full Consent Compliant,corporategold.de,False,False,False,True
Full Consent Compliant,costruzionibergamo.com,False,False,False,True
Full Consent Compliant,coursiv.io,False,False,False,True
Full Consent Compliant,crowdstrike.com,True,False,True,False
Full Consent Compliant,daikin.co.za,False,False,False,True
Full Consent Compliant,dashlane.com,False,False,False,True
Full Consent Compliant,data-basics.com,True,True,True,False
Full Consent Compliant,datempire.com,False,False,False,True
Full Consent Compliant,datersvalley.com,False,False,False,True
Full Consent Compliant,dating4lover.com,False,False,False,True
Full Consent Compliant,datingarts.com,False,False,False,True
Full Consent Compliant,datingdazzle.com,False,False,False,True
Full Consent Compliant,datinglagoon.com,True,False,True,False
Full Consent Compliant,datingrise.com,False,False,False,True
Full Consent Compliant,denhartogh.com,False,False,False,True
Full Consent Compliant,designlab.com,True,True,True,False
Full Consent Compliant,easybreathe.com,False,False,False,True
Full Consent Compliant,ebjournal.com,False,False,False,True
Full Consent Compliant,ed.ac.uk,False,False,False,True
Full Consent Compliant,emondo.de,False,False,False,True
Full Consent Compliant,esta.com,False,False,False,True
Full Consent Compliant,etonshirts.com,False,False,False,True
Full Consent Compliant,exploravip.com,False,False,False,True
Full Consent Compliant,eyefactive.com,False,False,False,True
Full Consent Compliant,fanfills.com,False,False,False,True
Full Consent Compliant,fendt.com,False,False,False,True
Full Consent Compliant,fibergrate.ca,False,False,False,True
Full Consent Compliant,fibergrate.com,False,False,False,True
Full Consent Compliant,fiestadates.com,False,False,False,True
Full Consent Compliant,firzt.co.za,False,False,False,True
Full Consent Compliant,fluxtrol.com,True,True,True,False
Full Consent Compliant,fourth.com,False,False,False,True
Full Consent Compliant,geozilla.com,True,True,True,False
Full Consent Compliant,gesundheits-praemien.de,False,False,False,True
Full Consent Compliant,getyourguide.com,True,False,True,False
Full Consent Compliant,girlsfromasia.com,False,False,False,True
Full Consent Compliant,girlswithlove.com,False,False,False,True
Full Consent Compliant,greencomics.io,False,False,False,True
Full Consent Compliant,grimco.com,True,True,True,False
Full Consent Compliant,gtglivingwater.com.au,False,False,False,True
Full Consent Compliant,hamiltonisland.com.au,True,True,True,False
Full Consent Compliant,happy-sim.de,False,False,False,True
Full Consent Compliant,hellopebl.com,False,False,False,True
Full Consent Compliant,hempwood.com,False,False,False,True
Full Consent Compliant,hidglobal.com,False,False,False,True
Full Consent Compliant,horizon3.ai,False,False,False,True
Full Consent Compliant,hsglaser.com,False,False,False,True
Full Consent Compliant,hutchinsonai.com,False,False,False,True
Full Consent Compliant,hyggear.com,False,False,False,True
Full Consent Compliant,ihmvcu.org,False,False,False,True
Full Consent Compliant,iloxx.de,False,False,False,True
Full Consent Compliant,indsci.com,False,False,False,True
Full Consent Compliant,islander.com,False,False,False,True
Full Consent Compliant,jockeze.com,False,False,False,True
Full Consent Compliant,juliettdate.com,False,False,False,True
Full Consent Compliant,kibek.de,False,False,False,True
Full Consent Compliant,knaus.com,False,False,False,True
Full Consent Compliant,koreadates.com,True,False,True,False
Full Consent Compliant,kress.com,False,False,False,True
Full Consent Compliant,kuoe-en.com,False,False,False,True
Full Consent Compliant,l3harris.com,False,False,False,True
Full Consent Compliant,la-date.com,True,False,True,False
Full Consent Compliant,laservii.com,False,False,False,True
Full Consent Compliant,lauradate.com,False,False,False,True
Full Consent Compliant,ledman.com,False,False,False,True
Full Consent Compliant,linerworld.com,False,False,False,True
Full Consent Compliant,lovefort.com,False,False,False,True
Full Consent Compliant,luna-storage.com,False,False,False,True
Full Consent Compliant,macekasyn.de,False,False,False,True
Full Consent Compliant,manageengine.com,False,False,False,True
Full Consent Compliant,marketstar.com,True,True,True,False
Full Consent Compliant,matchtruly.com,False,False,False,True
Full Consent Compliant,meetheage.com,True,True,True,False
Full Consent Compliant,meetromance.com,False,False,False,True
Full Consent Compliant,miaromance.com,False,False,False,True
Full Consent Compliant,milltronics.com,False,False,False,True
Full Consent Compliant,mobacoffee.de,False,False,False,True
Full Consent Compliant,motusmg.co.za,False,False,False,True
Full Consent Compliant,myfamio.com,True,True,True,False
Full Consent Compliant,myvoy.de,False,False,False,True
