category,domain,reject_violation,no_interaction_violation,non_compliant_3rd,3rd_compliant
Full Consent Compliant,1und1.net,True,True,True,False
Full Consent Compliant,afilio.de,False,False,False,True
Full Consent Compliant,agriskills.net,True,True,True,False
Full Consent Compliant,aixpad.de,False,False,False,True
Full Consent Compliant,alarm-it-factory.de,False,False,False,True
Full Consent Compliant,alphawave.fund,False,False,False,True
Full Consent Compliant,athletec.de,False,False,False,True
Full Consent Compliant,atlassian.com,True,True,True,False
Full Consent Compliant,avis.co.za,True,True,True,False
Full Consent Compliant,bayer.com.au,False,False,False,True
Full Consent Compliant,bentleymotors.com,False,False,False,True
Full Consent Compliant,birkenstock.com,False,False,False,True
Full Consent Compliant,brandregistrygroup.org,False,False,False,True
Full Consent Compliant,budget.co.za,False,False,False,True
Full Consent Compliant,buildrightlawyers.com,False,False,False,True
Full Consent Compliant,citeline.com,False,False,False,True
Full Consent Compliant,congatec.com,True,True,True,False
Full Consent Compliant,conholdate.com,True,True,True,False
Full Consent Compliant,conword.io,False,False,False,True
Full Consent Compliant,corporategold.de,False,False,False,True
Full Consent Compliant,costruzionibergamo.com,True,True,True,False
Full Consent Compliant,daikin.co.za,False,False,False,True
Full Consent Compliant,data-basics.com,True,True,True,False
Full Consent Compliant,denhartogh.com,False,False,False,True
Full Consent Compliant,ebjournal.com,False,False,False,True
Full Consent Compliant,ed.ac.uk,False,False,False,True
Full Consent Compliant,esta.com,True,True,True,False
Full Consent Compliant,etonshirts.com,False,True,True,False
Full Consent Compliant,eyefactive.com,False,False,False,True
Full Consent Compliant,fendt.com,True,False,True,False
Full Consent Compliant,firzt.co.za,False,False,False,True
Full Consent Compliant,fluxtrol.com,True,True,True,False
Full Consent Compliant,fourth.com,False,False,False,True
Full Consent Compliant,gesundheits-praemien.de,False,False,False,True
Full Consent Compliant,greencomics.io,False,False,False,True
Full Consent Compliant,grimco.com,True,True,True,False
Full Consent Compliant,happy-sim.de,False,False,False,True
Full Consent Compliant,hidglobal.com,False,False,False,True
Full Consent Compliant,horizon3.ai,True,True,True,False
Full Consent Compliant,hutchinsonai.com,False,False,False,True
Full Consent Compliant,ihmvcu.org,False,False,False,True
Full Consent Compliant,indsci.com,False,False,False,True
Full Consent Compliant,jtbusa.com,True,True,True,False
Full Consent Compliant,kibek.de,False,False,False,True
Full Consent Compliant,knaus.com,False,False,False,True
Full Consent Compliant,knobloch-shop.de,False,False,False,True
Full Consent Compliant,kress.com,False,False,False,True
Full Consent Compliant,kuoe-en.com,False,False,False,True
Full Consent Compliant,l3harris.com,True,True,True,False
Full Consent Compliant,luna-storage.com,True,True,True,False
Full Consent Compliant,marketstar.com,True,True,True,False
Full Consent Compliant,mobacoffee.de,True,True,True,False
Full Consent Compliant,motusmg.co.za,False,False,False,True
Full Consent Compliant,myvoy.de,False,False,False,True
Full Consent Compliant,naitec.ai,True,True,True,False
Full Consent Compliant,onestream.com,True,True,True,False
Full Consent Compliant,parasoft.com,True,True,True,False
Full Consent Compliant,penguinrandomhouse.com,True,True,True,False
Full Consent Compliant,philoro.de,True,True,True,False
Full Consent Compliant,playstation.com,False,False,False,True
Full Consent Compliant,pod.international,False,False,False,True
Full Consent Compliant,prh.com,True,True,True,False
Full Consent Compliant,psychiczoltan.com,False,False,False,True
Full Consent Compliant,pulpstream.com,True,True,True,False
Full Consent Compliant,rapidsos.com,False,False,False,True
Full Consent Compliant,rohstoff-recycling-kuehn.de,True,True,True,False
