category,domain,reject_violation,no_interaction_violation,non_compliant_3rd,3rd_compliant
Full Consent Compliant,1und1.net,True,True,True,False
Full Consent Compliant,4nsi.com,True,True,True,False
Full Consent Compliant,afilio.de,False,False,False,True
Full Consent Compliant,agriskills.net,True,True,True,False
Full Consent Compliant,aixpad.de,False,False,False,True
Full Consent Compliant,alarm-it-factory.de,False,False,False,True
Full Consent Compliant,alphawave.fund,False,False,False,True
Full Consent Compliant,athletec.de,False,False,False,True
Full Consent Compliant,avis.co.za,True,True,True,False
Full Consent Compliant,bayer.com.au,False,False,False,True
Full Consent Compliant,bentleymotors.com,False,False,False,True
Full Consent Compliant,birkenstock.com,False,False,False,True
Full Consent Compliant,bookshop.org,False,False,False,True
Full Consent Compliant,brandregistrygroup.org,False,False,False,True
Full Consent Compliant,budget.co.za,False,False,False,True
Full Consent Compliant,buildrightlawyers.com,False,False,False,True
Full Consent Compliant,citeline.com,False,False,False,True
Full Consent Compliant,congatec.com,True,True,True,False
Full Consent Compliant,conholdate.com,True,True,True,False
Full Consent Compliant,conword.io,False,False,False,True
Full Consent Compliant,corporategold.de,False,False,False,True
Full Consent Compliant,costruzionibergamo.com,True,True,True,False
Full Consent Compliant,coursiv.io,True,True,True,False
Full Consent Compliant,daikin.co.za,False,False,False,True
Full Consent Compliant,dashlane.com,False,False,False,True
Full Consent Compliant,denhartogh.com,False,False,False,True
Full Consent Compliant,easybreathe.com,False,False,False,True
Full Consent Compliant,ebjournal.com,False,False,False,True
Full Consent Compliant,ed.ac.uk,False,False,False,True
Full Consent Compliant,emondo.de,True,True,True,False
Full Consent Compliant,esta.com,True,True,True,False
Full Consent Compliant,etonshirts.com,False,True,True,False
Full Consent Compliant,eyefactive.com,False,False,False,True
Full Consent Compliant,fendt.com,False,False,False,True
Full Consent Compliant,firzt.co.za,False,False,False,True
Full Consent Compliant,fluxtrol.com,True,True,True,False
Full Consent Compliant,fourth.com,False,False,False,True
Full Consent Compliant,gesundheits-praemien.de,False,False,False,True
Full Consent Compliant,greencomics.io,False,False,False,True
Full Consent Compliant,grimco.com,True,True,True,False
Full Consent Compliant,happy-sim.de,False,False,False,True
Full Consent Compliant,hidglobal.com,False,False,False,True
Full Consent Compliant,hutchinsonai.com,False,False,False,True
Full Consent Compliant,ihmvcu.org,False,False,False,True
Full Consent Compliant,iloxx.de,False,False,False,True
Full Consent Compliant,kibek.de,False,False,False,True
Full Consent Compliant,knaus.com,False,False,False,True
Full Consent Compliant,kress.com,False,False,False,True
Full Consent Compliant,l3harris.com,True,True,True,False
Full Consent Compliant,linerworld.com,True,True,True,False
Full Consent Compliant,luna-storage.com,True,True,True,False
Full Consent Compliant,marketstar.com,True,True,True,False
Full Consent Compliant,milltronics.com,False,False,False,True
Full Consent Compliant,mobacoffee.de,True,True,True,False
Full Consent Compliant,motusmg.co.za,False,False,False,True
Full Consent Compliant,myfamio.com,True,True,True,False
Full Consent Compliant,myvoy.de,False,False,False,True
Full Consent Compliant,naitec.ai,True,True,True,False
Full Consent Compliant,onestream.com,True,True,True,False
Full Consent Compliant,perspiresaunastudio.com,True,True,True,False
Full Consent Compliant,philoro.de,True,True,True,False
Full Consent Compliant,planesense.com,True,True,True,False
Full Consent Compliant,pod.international,False,False,False,True
Full Consent Compliant,psychiczoltan.com,False,False,False,True
Full Consent Compliant,pulpstream.com,True,True,True,False
Full Consent Compliant,qualcomm.com,True,True,True,False
Full Consent Compliant,rbauction.com,False,False,False,True
Full Consent Compliant,riministreet.com,False,True,True,False
Full Consent Compliant,rohstoff-recycling-kuehn.de,True,True,True,False
Full Consent Compliant,royaltyexchange.com,True,True,True,False
Full Consent Compliant,schoolfix.com,False,False,False,True
Full Consent Compliant,sedaexperts.com,False,True,True,False
Full Consent Compliant,segmueller.de,False,False,False,True
Full Consent Compliant,shoplazza.com,True,True,True,False
Full Consent Compliant,siemens.com,True,True,True,False
Full Consent Compliant,sothebysrealty.co.za,True,True,True,False
Full Consent Compliant,stemcell.com,False,False,False,True
Full Consent Compliant,stihl.co.za,True,False,True,False
Full Consent Compliant,strategex.com,False,False,False,True
Full Consent Compliant,supermicro.com,True,True,True,False
Full Consent Compliant,testora.expert,True,True,True,False
Full Consent Compliant,thermofisher.com,True,True,True,False
Full Consent Compliant,tuskrobots.eu,True,True,True,False
Full Consent Compliant,uml.edu,False,False,False,True
Full Consent Compliant,vandervalkshipyard.com,True,True,True,False
Full Consent Compliant,vertiv.com,True,True,True,False
Full Consent Compliant,xneelo.co.za,True,True,True,False
Persistent,12go.asia,True,True,True,False
Persistent,16bayview.com,True,True,True,False
Persistent,706sf.com,False,False,False,True
Persistent,99app.com,True,True,True,False
Persistent,abbexa.com,True,True,True,False
Persistent,abridge.com,True,True,True,False
Persistent,acrartex.com,True,False,True,False
Persistent,advancedclinical.com,True,True,True,False
Persistent,agc-electronics.com,True,True,True,False
Persistent,airchilly.com,False,False,False,True
Persistent,ajmc.com,True,True,True,False
Persistent,algolia.com,True,True,True,False
Persistent,allflex.com.au,False,False,False,True
Persistent,altahq.com,True,True,True,False
Persistent,analyticainvestor.com,True,True,True,False
Persistent,appian.com,False,False,False,True
Persistent,appnebula.co,True,True,True,False
Persistent,aquapoolsupply.com,True,True,True,False
Persistent,archebyschuhbidu.com,False,False,False,True
Persistent,aroundhome.de,False,False,False,True
Persistent,asiatalks.com,True,True,True,False
Persistent,astro-360.com,True,True,True,False
Persistent,axinewater.com,True,True,True,False
Persistent,backlog.com,True,True,True,False
Persistent,bahn.de,True,True,True,False
Persistent,barsleaks.com,False,False,False,True
Persistent,bellroy.com,True,True,True,False
Persistent,bendigoregion.com.au,True,True,True,False
Persistent,bestdates.com,True,True,True,False
Persistent,bfxengenharia.com.br,True,True,True,False
Persistent,blackhawk.com,True,False,True,False
Persistent,bluucarrental.com,True,True,True,False
Persistent,bny.com,True,True,True,False
Persistent,boardmans.co.za,True,True,True,False
Persistent,bradlows.co.za,True,True,True,False
Persistent,brasselerusa.com,True,True,True,False
Persistent,breitling.com,True,True,True,False
Persistent,brookshirehyundai.com,True,True,True,False
Persistent,bundupower.co.za,True,True,True,False
Persistent,c-sgroup.com,True,True,True,False
Persistent,callebaut.com,False,False,False,True
Persistent,capellahotels.com,True,True,True,False
Persistent,carmonsquiltshop.com,True,True,True,False
Persistent,carrbiosystems.com,True,True,True,False
Persistent,chainanddrives.com.au,False,False,False,True
Persistent,chainge.events,True,True,True,False
Persistent,changanmotors.co.za,False,False,False,True
Persistent,charliekirkstopinthenameofgod.com,True,True,True,False
Persistent,citizen.jp,True,True,True,False
Persistent,cobiaboats.com,True,True,True,False
Persistent,companyshop24.de,True,True,True,False
Persistent,compass.com,False,False,False,True
Persistent,connection.com,True,True,True,False
Persistent,continentaltire.com,True,True,True,False
Persistent,contractorexamschools.com,False,False,False,True
Persistent,courtreserve.com,True,True,True,False
Persistent,curacao.com,True,True,True,False
Persistent,dasa.com.br,True,True,True,False
Persistent,data-basics.com,True,True,True,False
Persistent,datempire.com,False,False,False,True
Persistent,datersvalley.com,True,True,True,False
Persistent,dating4lover.com,True,True,True,False
Persistent,datingarts.com,True,True,True,False
Persistent,datingdazzle.com,False,False,False,True
Persistent,datinglagoon.com,True,False,True,False
Persistent,datingrise.com,True,True,True,False
Persistent,debaines.com,True,True,True,False
Persistent,designlab.com,True,True,True,False
Persistent,dicegameeos.com,True,True,True,False
Persistent,dicla.com,False,False,False,True
Persistent,discovery.co.za,True,True,True,False
Persistent,dn-solutions.com,False,False,False,True
Persistent,dxc.com,True,True,True,False
Persistent,dynamsoft.com,True,True,True,False
Persistent,eaglehill.school,False,False,False,True
Persistent,eaglepassheli.com,False,False,False,True
Persistent,eatreallygoodcookies.com,True,True,True,False
Persistent,economist.com,True,True,True,False
Persistent,eiu.com,False,False,False,True
Persistent,eliandelm.com,True,True,True,False
Persistent,elitetraveler.com,True,True,True,False
Persistent,enjoysgame.com,True,True,True,False
Persistent,enlevolar.com.br,True,True,True,False
Persistent,estruxture.com,True,True,True,False
Persistent,etechnologyservices.com,False,False,False,True
Persistent,evdealergroup-byd.com.au,True,True,True,False
Persistent,eviogame.com,True,True,True,False
Persistent,faceandbody.co.za,False,False,False,True
Persistent,fairmont-waterfront.com,True,True,True,False
Persistent,fairmont.com,True,True,True,False
Persistent,familyfordinc.net,True,True,True,False
Persistent,fanfills.com,True,True,True,False
Persistent,fetchtv.com.au,True,True,True,False
Persistent,feverup.com,True,True,True,False
Persistent,fibergrate.ca,True,True,True,False
Persistent,fibergrate.com,True,True,True,False
Persistent,fiestadates.com,True,True,True,False
Persistent,firstintuition.co.uk,True,True,True,False
Persistent,flexabed.com,False,False,False,True
Persistent,foodlegal.com.au,False,False,False,True
Persistent,foreverspin.com,False,False,False,True
Persistent,frederickscompany.com,True,True,True,False
Persistent,frontlineeducation.com,True,True,True,False
Persistent,fsastech.com,True,True,True,False
Persistent,fujiarts.com,False,False,False,True
Persistent,furnmart.co.za,True,True,True,False
Persistent,galatiyachts.com,True,True,True,False
Persistent,galaxyfpga.com,False,False,False,True
Persistent,gamehoshi.com,True,True,True,False
Persistent,gardencities.co.za,True,True,True,False
Persistent,gdata.de,False,False,False,True
Persistent,geelybrasil.com.br,True,True,True,False
Persistent,genbasupport.com,True,True,True,False
Persistent,geonix.com,True,True,True,False
Persistent,getfishstix.com,True,False,True,False
Persistent,getyourguide.com,True,True,True,False
Persistent,gigsalad.com,True,True,True,False
Persistent,girlsfromasia.com,False,False,False,True
Persistent,girlswithlove.com,True,True,True,False
Persistent,goebel-hotels.com,True,True,True,False
Persistent,gotoper.com,True,True,True,False
Persistent,govee.com,False,True,True,False
Persistent,grandcanyonlodges.com,True,True,True,False
Persistent,grandharborinn.com,True,True,True,False
Persistent,greentips1.com,True,True,True,False
Persistent,grindtech.com,True,True,True,False
Persistent,grpanderson.com,False,False,False,True
Persistent,guernseyfinance.com,True,True,True,False
Persistent,hachettebookgroup.com,True,True,True,False
Persistent,hamburg-stadtfuehrung.com,True,True,True,False
Persistent,hammerspace.com,True,True,True,False
Persistent,harnafit.com,True,True,True,False
Persistent,hartiesboatcompany.co.za,True,True,True,False
Persistent,hellopebl.com,True,True,True,False
Persistent,hempwood.com,False,False,False,True
Persistent,hennesseyperformance.com,True,True,True,False
Persistent,hero-wars.com,True,True,True,False
Persistent,hificorp.co.za,False,False,False,True
Persistent,holidayhaven.com.au,False,False,False,True
Persistent,holmans.com.au,True,True,True,False
Persistent,honda.com.vn,True,True,True,False
Persistent,hondaphil.com,True,True,True,False
Persistent,horizon3.ai,True,True,True,False
Persistent,horizontaldigital.com,True,True,True,False
Persistent,hotelpaseo.com,True,True,True,False
Persistent,hsglaser.com,True,True,True,False
Persistent,humanware.com,False,False,False,True
Persistent,hurtigruten.com,True,True,True,False
Persistent,icrowdnewswire.com,True,True,True,False
Persistent,idc.com,True,True,True,False
Persistent,identifix.com,True,True,True,False
Persistent,idrinkproducts.com,True,True,True,False
Persistent,incredible.co.za,False,False,False,True
Persistent,indsci.com,True,True,True,False
Persistent,ineight.com,True,True,True,False
Persistent,inremetforminsettlement.com,False,False,False,True
Persistent,investing.com,True,True,True,False
Persistent,ironplanet.com,False,False,False,True
Persistent,isc2.org,True,True,True,False
Persistent,jarvissubaru.com.au,True,True,True,False
Persistent,jetcraft.com,False,False,False,True
Persistent,jetour.co.za,True,True,True,False
Persistent,jinpengmining.com,False,False,False,True
Persistent,josalukkasonline.com,True,True,True,False
Persistent,josbank.com,True,True,True,False
Persistent,juliettdate.com,True,False,True,False
Persistent,kellypartners.com.au,True,True,True,False
Persistent,kentfeeds.com,True,True,True,False
Persistent,kia.com,True,True,True,False
Persistent,kontent.ai,True,True,True,False
Persistent,koreadates.com,True,False,True,False
Persistent,kuoe-en.com,True,True,True,False
Persistent,la-date.com,True,True,True,False
Persistent,larubeya.com,True,True,True,False
Persistent,lauradate.com,False,False,False,True
Persistent,learnfrenchwithclemence.com,True,True,True,False
Persistent,ledman.com,False,False,False,True
Persistent,lemonde.fr,False,False,False,True
Persistent,lenovo.com,False,False,False,True
Persistent,letsatlantica.com.br,True,True,True,False
Persistent,lexisnexis.com,True,True,True,False
Persistent,littlewoodrows.com,True,True,True,False
Persistent,lnk.to,True,True,True,False
Persistent,loanfactory.com,True,True,True,False
Persistent,localiza.com,True,True,True,False
Persistent,lojapegada.com.br,True,True,True,False
Persistent,lovefort.com,True,True,True,False
Persistent,lucawatches.com,False,False,False,True
Persistent,luettmann.de,True,False,True,False
Persistent,lumistry.com,True,True,True,False
Persistent,madmuscles.com,True,True,True,False
Persistent,makro.co.za,True,True,True,False
Persistent,marriott.com,True,True,True,False
Persistent,masterelectronics.com,True,True,True,False
Persistent,matchtruly.com,True,True,True,False
Persistent,mattamyhomes.com,True,True,True,False
Persistent,mccarthy.co.za,False,False,False,True
Persistent,meetheage.com,True,True,True,False
Persistent,menswearhouse.com,True,True,True,False
Persistent,metakom-n.ru,True,True,True,False
Persistent,mgmotorstefanini.com.br,False,True,True,False
Persistent,miaromance.com,False,False,False,True
Persistent,mibrasil.com.br,True,True,True,False
Persistent,michaeltoddbeauty.com,True,True,True,False
Persistent,michelin.co.jp,False,False,False,True
Persistent,montreve.co.za,True,True,True,False
Persistent,mornlaser.com,False,False,False,True
Persistent,mrphome.com,True,True,True,False
Persistent,msi.com,True,True,True,False
Persistent,napoleon.com,True,True,True,False
Persistent,naturtreu.de,True,True,True,False
Persistent,natuzzi.com,True,True,True,False
Persistent,nbmtours.me,False,False,False,True
Persistent,nccusa.com,True,True,True,False
Persistent,networkrecruitmentinternational.com,False,False,False,True
Persistent,nhathuoclongchau.com.vn,True,True,True,False
Persistent,no33parkrow.com,True,True,True,False
Persistent,nubgame.com,False,True,True,False
Persistent,olight.com,True,True,True,False
Persistent,omnimarkt.de,False,False,False,True
Persistent,oreillyauto.com,False,False,False,True
Persistent,ortecfinance.com,False,False,False,True
Persistent,osu.edu,True,True,True,False
Persistent,oticon.com.au,True,True,True,False
Persistent,ovationhc.com,True,True,True,False
Persistent,parasoft.com,True,True,True,False
Persistent,pathfinderboats.com,True,True,True,False
Persistent,pegasuspublishers.com,True,True,True,False
Persistent,penguinrandomhouse.com,True,True,True,False
Persistent,petsuppliesplus.com,True,True,True,False
