country,category,n_total,n_noncompliant_3rd,pct_noncompliant_3rd
AU,Full Consent Compliant,92,45,48.91304347826087
AU,Persistent,306,235,76.79738562091504
AU,Passive,74,38,51.35135135135135
DE,Full Consent Compliant,185,42,22.702702702702705
DE,Persistent,310,138,44.516129032258064
DE,Passive,103,25,24.271844660194176
BR,Full Consent Compliant,96,49,51.041666666666664
BR,Persistent,293,214,73.03754266211604
BR,Passive,88,43,48.86363636363637
JP,Full Consent Compliant,84,41,48.80952380952381
JP,Persistent,308,239,77.59740259740259
JP,Passive,80,44,55.00000000000001
US,Full Consent Compliant,87,41,47.12643678160919
US,Persistent,322,250,77.63975155279503
US,Passive,88,39,44.31818181818182
ZA,Full Consent Compliant,92,37,40.21739130434783
ZA,Persistent,295,193,65.42372881355932
ZA,Passive,84,34,40.476190476190474
